architecture_id	total_junctions	min_rank	max_rank	avg_rank	num_strong_0.5	num_strong_1.0	num_strong_2.0
C01_H01_B001	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B002	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B003	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B004	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B005	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B006	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B007	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B008	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B009	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B010	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B011	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B012	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B013	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B014	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B015	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B016	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B017	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B018	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B019	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B020	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B021	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B022	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B023	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B024	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B025	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B026	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B027	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B028	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B029	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B030	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B031	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B032	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B033	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B034	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B035	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B036	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B037	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B038	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B039	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B040	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B041	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B042	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B043	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B044	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B045	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B046	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B047	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B048	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B049	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B050	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B051	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B052	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B053	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B054	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B055	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B056	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B057	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B058	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B059	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B060	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B061	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B062	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B063	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B064	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B065	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B066	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B067	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B068	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B069	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B070	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B071	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B072	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B073	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B074	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B075	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B076	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B077	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B078	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B079	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B080	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B081	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B082	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B083	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B084	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B085	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B086	72	0.0596	84.9405	23.882205555555558	1	5	8
C01_H01_B087	72	0.0596	84.9405	23.882205555555558	1	5	8
