directory	total_files	txt_files	html_files	json_files	size_kb
results/final	0	0	0	0	0.0
results/15_structures	2	0	0	0	0.0
results/21_dashboard	0	0	0	0	0.0
results/14_characterization	0	0	0	0	0.0
results/05_alignments	6	0	6	0	22.5
results/final_construct	10	4	0	0	2.5
results/16_peptide_sla	0	0	0	0	0.0
results/08_screening	0	0	0	0	0.0
results/10_population_coverage	0	0	0	0	0.0
results/13_adjuvant	0	0	0	0	0.0
results/18_md	0	0	0	0	0.0
results/20_cloning	0	0	0	0	0.0
results/09_machine_learning	0	0	0	0	0.0
results/04_proteins	0	0	0	0	0.0
results/19_codon	0	0	0	0	0.0
results/06_sla	0	0	0	0	0.0
results/07_epitopes	3	0	0	0	0.0
results/17_tlr	0	0	0	0	0.0
results/11_optimization	0	0	0	0	0.0
results/03_genomes	2	0	2	0	12.7
results/12_construct	0	0	0	0	0.0
