type	path	details
empty_file	cd2v_sequence.fasta	{'type': 'empty_file', 'path': 'cd2v_sequence.fasta', 'size': 0}
empty_file	sla_i_web_submission.txt	{'type': 'empty_file', 'path': 'sla_i_web_submission.txt', 'size': 0}
empty_file	p54_sequence.fasta	{'type': 'empty_file', 'path': 'p54_sequence.fasta', 'size': 0}
empty_file	p30_sequence.fasta	{'type': 'empty_file', 'path': 'p30_sequence.fasta', 'size': 0}
empty_file	pp220_sequence.fasta	{'type': 'empty_file', 'path': 'pp220_sequence.fasta', 'size': 0}
empty_file	LICENSE	{'type': 'empty_file', 'path': 'LICENSE', 'size': 0}
empty_file	README.md	{'type': 'empty_file', 'path': 'README.md', 'size': 0}
empty_file	top_50_architectures.txt	{'type': 'empty_file', 'path': 'top_50_architectures.txt', 'size': 0}
empty_file	CHANGELOG.md	{'type': 'empty_file', 'path': 'CHANGELOG.md', 'size': 0}
empty_file	generate_constructs.py	{'type': 'empty_file', 'path': 'generate_constructs.py', 'size': 0}
empty_file	p72_sequence.fasta	{'type': 'empty_file', 'path': 'p72_sequence.fasta', 'size': 0}
empty_file	docs/reproducibility.md	{'type': 'empty_file', 'path': 'docs/reproducibility.md', 'size': 0}
empty_file	docs/workflow.md	{'type': 'empty_file', 'path': 'docs/workflow.md', 'size': 0}
empty_file	docs/project_architecture.md	{'type': 'empty_file', 'path': 'docs/project_architecture.md', 'size': 0}
empty_file	docs/database_schema.md	{'type': 'empty_file', 'path': 'docs/database_schema.md', 'size': 0}
empty_file	docs/vps_setup.md	{'type': 'empty_file', 'path': 'docs/vps_setup.md', 'size': 0}
empty_file	logs/pipeline.log	{'type': 'empty_file', 'path': 'logs/pipeline.log', 'size': 0}
empty_file	logs/dashboard.log	{'type': 'empty_file', 'path': 'logs/dashboard.log', 'size': 0}
empty_file	logs/install.log	{'type': 'empty_file', 'path': 'logs/install.log', 'size': 0}
empty_file	logs/error.log	{'type': 'empty_file', 'path': 'logs/error.log', 'size': 0}
empty_file	MixMHC2pred/PWMdef/SLA_DRA_01_01__DRB1_02_02.pwm.corrupt	{'type': 'empty_file', 'path': 'MixMHC2pred/PWMdef/SLA_DRA_01_01__DRB1_02_02.pwm.corrupt', 'size': 0}
