# CTL Strong Binder Peptides (9-mers)
# Format: Protein|Peptide
p30|SLA-1:0101
p30|SLA-1:0101
p30|SLA-1:0101
p30|SLA-1:0101
p30|SLA-1:0401
p30|SLA-1:0401
p30|SLA-1:0401
p30|SLA-1:0401
p30|SLA-2:0401
p30|SLA-2:0401
p30|SLA-2:0401
p30|SLA-2:0401
p30|SLA-2:0401
p30|SLA-2:0401
p30|SLA-2:0401
p30|SLA-2:0401
p30|SLA-2:0401
p30|SLA-3:0401
p30|SLA-3:0401
p30|SLA-3:0401
p30|SLA-3:0401
p30|SLA-3:0401
p30|SLA-3:0401
p30|SLA-1:1201
p30|SLA-1:1201
p30|SLA-1:1201
p30|SLA-3:0301
p30|SLA-3:0301
p30|SLA-3:0301
p30|SLA-3:0301
p30|SLA-3:0301
p30|SLA-3:0301
p30|SLA-2:0401
p30|SLA-2:0401
p30|SLA-3:0301
p30|SLA-3:0301
p54|SLA-1:0101
p54|SLA-1:0101
p54|SLA-1:0101
p54|SLA-1:0101
p54|SLA-1:0101
p54|SLA-1:0101
p54|SLA-1:0401
p54|SLA-1:0401
p54|SLA-2:0401
p54|SLA-2:0401
p54|SLA-1:1201
p54|SLA-1:1201
p54|SLA-1:1201
p54|SLA-1:1201
pcp312r|SLA-1:0101
pcp312r|SLA-1:0101
pcp312r|SLA-1:0101
pcp312r|SLA-1:0101
pcp312r|SLA-1:0101
pcp312r|SLA-1:0101
pcp312r|SLA-1:0401
pcp312r|SLA-1:0401
pcp312r|SLA-1:0401
pcp312r|SLA-1:0401
pcp312r|SLA-2:0401
pcp312r|SLA-2:0401
pcp312r|SLA-3:0401
pcp312r|SLA-3:0401
pcp312r|SLA-3:0401
pcp312r|SLA-3:0401
pcp312r|SLA-3:0401
pcp312r|SLA-3:0401
pcp312r|SLA-1:1201
pcp312r|SLA-1:1201
pcp312r|SLA-1:1201
pcp312r|SLA-1:1201
pcp312r|SLA-1:1201
pcp312r|SLA-1:1201
pcp312r|SLA-3:0301
pcp312r|SLA-3:0301
pcp312r|SLA-3:0301
pcp312r|SLA-3:0301
pcp312r|SLA-3:0301
pcp312r|SLA-3:0301
pcp312r|SLA-3:0301
pcp312r|SLA-3:0301
pcp312r|SLA-3:0301
pcp312r|SLA-3:0301
pcp312r|SLA-3:0301
cd2v|SLA-1:0101
cd2v|SLA-1:0101
cd2v|SLA-1:0101
cd2v|SLA-1:0401
cd2v|SLA-1:0401
cd2v|SLA-1:0401
cd2v|SLA-1:0401
cd2v|SLA-1:0401
cd2v|SLA-1:0401
cd2v|SLA-1:0401
cd2v|SLA-2:0401
cd2v|SLA-2:0401
cd2v|SLA-2:0401
cd2v|SLA-2:0401
cd2v|SLA-2:0401
cd2v|SLA-2:0401
cd2v|SLA-2:0401
cd2v|SLA-2:0401
cd2v|SLA-2:0401
cd2v|SLA-2:0401
