accession,accession_version,strain,isolate,country,location,collection_date,year,host,sample_source,genotype,genome_length,gc_content,ambiguous_nucleotides,ambiguous_percent,cds_count,assembly_status,sequencing_technology,submitter,publication,organism,taxonomy,download_date
MW856067,MW856067.1,BUR/18/Rutana,BUR/18/Rutana,Burundi,,2018,2018,Sus scrofa,,X,176564,38.67,11,0.01,144,Complete,,"Hakizimana,J.N., Ntirandekura,J.B., Yona,C., Nyabongo,L., Kamwendo,G., Chulu,J.L.C., Ntakirutimana,D., Kamana,O., Nauwynck,H. and Misinzo,G.",Complete genome analysis of African swine fever virus responsible for outbreaks in domestic pigs in 2018 in Burundi and 2019 in Malawi,African swine fever virus,Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Asfuvirales|Asfarviridae|Asfivirus|Asfivirus haemorrhagiae,2026-07-11T13:50:19.050712
MW856068,MW856068.1,MAL/19/Karonga,MAL/19/Karonga,Malawi,,2019,2019,Sus scrofa,,II,183325,38.55,0,0.0,182,Complete,,"Hakizimana,J.N., Ntirandekura,J.B., Yona,C., Nyabongo,L., Kamwendo,G., Chulu,J.L.C., Ntakirutimana,D., Kamana,O., Nauwynck,H. and Misinzo,G.",Complete genome analysis of African swine fever virus responsible for outbreaks in domestic pigs in 2018 in Burundi and 2019 in Malawi,African swine fever virus,Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Asfuvirales|Asfarviridae|Asfivirus|Asfivirus haemorrhagiae,2026-07-11T13:50:19.050712
ON409979,ON409979.1,TAN/17/Kibaha,TAN/17/Kibaha,Tanzania,,2017,2017,Sus scrofa,,II,184521,38.5,0,0.0,179,Complete,,"Hakizimana,J.N., Yona,C., Makange,M.R., Kasisi,E.A., Netherton,C.L., Nauwynck,H. and Misinzo,G.","Complete genome analysis of African swine fever virus genotypes II, IX and XV from domestic pigs in Tanzania",African swine fever virus,Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Asfuvirales|Asfarviridae|Asfivirus|Asfivirus haemorrhagiae,2026-07-11T13:50:19.050712
ON409980,ON409980.1,TAN/16/Magu,TAN/16/Magu,Tanzania,,2016,2016,Sus scrofa,,IX,182514,38.61,0,0.0,156,Complete,,"Hakizimana,J.N., Yona,C., Makange,M.R., Kasisi,E.A., Netherton,C.L., Nauwynck,H. and Misinzo,G.","Complete genome analysis of African swine fever virus genotypes II, IX and XV from domestic pigs in Tanzania",African swine fever virus,Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Asfuvirales|Asfarviridae|Asfivirus|Asfivirus haemorrhagiae,2026-07-11T13:50:19.050712
ON409981,ON409981.1,TAN/08/Mazimbu,TAN/08/Mazimbu,Tanzania,,2008,2008,Sus scrofa,,XV,178830,38.15,0,0.0,147,Complete,,"Hakizimana,J.N., Yona,C., Makange,M.R., Kasisi,E.A., Netherton,C.L., Nauwynck,H. and Misinzo,G.","Complete genome analysis of African swine fever virus genotypes II, IX and XV from domestic pigs in Tanzania",African swine fever virus,Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Asfuvirales|Asfarviridae|Asfivirus|Asfivirus haemorrhagiae,2026-07-11T13:50:19.050712
ON409982,ON409982.1,TAN/17/Mbagala,TAN/17/Mbagala,Tanzania,,2017,2017,Sus scrofa,,II,171004,38.88,0,0.0,157,Complete,,"Hakizimana,J.N., Yona,C., Makange,M.R., Kasisi,E.A., Netherton,C.L., Nauwynck,H. and Misinzo,G.","Complete genome analysis of African swine fever virus genotypes II, IX and XV from domestic pigs in Tanzania",African swine fever virus,Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Asfuvirales|Asfarviridae|Asfivirus|Asfivirus haemorrhagiae,2026-07-11T13:50:19.050712
ON409983,ON409983.1,TAN/20/Morogoro,TAN/20/Morogoro,Tanzania,,2020,2020,Sus scrofa,,II,183389,38.54,0,0.0,179,Complete,,"Hakizimana,J.N., Yona,C., Makange,M.R., Kasisi,E.A., Netherton,C.L., Nauwynck,H. and Misinzo,G.","Complete genome analysis of African swine fever virus genotypes II, IX and XV from domestic pigs in Tanzania",African swine fever virus,Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Asfuvirales|Asfarviridae|Asfivirus|Asfivirus haemorrhagiae,2026-07-11T13:50:19.050712
PQ375362,PQ375362.1,ASFV/RWA/Musanze/2023,,Rwanda,,2023,2023,domestic pig,,IX,184517,38.51,0,0.0,160,Complete,,"Hakizimana,J.N., Mwasota,C.Y., Makange,M.R., Adamson,E.K., Ntampaka,P., Uwibambe,E., Gasana,M.N., Ndayisenga,F., Nauwynck,H. and Misinzo,G.",Complete genome analysis of the African swine fever virus genotypes II and IX responsible for the 2021 and 2023 outbreaks in Rwanda,African swine fever virus,Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Asfuvirales|Asfarviridae|Asfivirus|Asfivirus haemorrhagiae,2026-07-11T13:50:19.050712
PQ375363,PQ375363.1,ASFV/RWA/Rwamagana/2021,,Rwanda,,2021,2021,domestic pig,,II,183853,38.54,0,0.0,183,Complete,,"Hakizimana,J.N., Mwasota,C.Y., Makange,M.R., Adamson,E.K., Ntampaka,P., Uwibambe,E., Gasana,M.N., Ndayisenga,F., Nauwynck,H. and Misinzo,G.",Complete genome analysis of the African swine fever virus genotypes II and IX responsible for the 2021 and 2023 outbreaks in Rwanda,African swine fever virus,Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Asfuvirales|Asfarviridae|Asfivirus|Asfivirus haemorrhagiae,2026-07-11T13:50:19.050712
PV740683,PV740683.1,ASFV_TAN_17_Mbozi_2,ASFV_TAN_17_Mbozi_2,Tanzania,,2017,2017,domestic pig,,II,167022,39.17,0,0.0,128,Complete,,"Hakizimanaa,J.N., Yona,C., Kayuki,C., Makange,M.R., Kasisi,E.A., Warr,A., Tait-Burkard,C., Nauwynck,H. and Misinzo,G.",Near complete genome of African swine fever virus genotype II recovered from domestic pigs in Tanzania,African swine fever virus,Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Asfuvirales|Asfarviridae|Asfivirus|Asfivirus haemorrhagiae,2026-07-11T13:50:19.050712
PV740684,PV740684.1,ASFV_TAN_17_Mbozi_1,ASFV_TAN_17_Mbozi_1,Tanzania,,2017,2017,domestic pig,,II,172585,38.95,0,0.0,126,Complete,,"Hakizimanaa,J.N., Yona,C., Kayuki,C., Makange,M.R., Kasisi,E.A., Warr,A., Tait-Burkard,C., Nauwynck,H. and Misinzo,G.",Near complete genome of African swine fever virus genotype II recovered from domestic pigs in Tanzania,African swine fever virus,Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Asfuvirales|Asfarviridae|Asfivirus|Asfivirus haemorrhagiae,2026-07-11T13:50:19.050712
