accession,gene,protein,status,length,notes
MW856067,B646L,p72,FULL_LENGTH,646,Full-length (646 aa)
MW856068,B646L,p72,FULL_LENGTH,646,Full-length (646 aa)
ON409979,B646L,p72,FULL_LENGTH,646,Full-length (646 aa)
ON409980,B646L,p72,FULL_LENGTH,646,Full-length (646 aa)
ON409981,B646L,p72,FULL_LENGTH,646,Full-length (646 aa)
ON409982,B646L,p72,FULL_LENGTH,646,Full-length (646 aa)
ON409983,B646L,p72,FULL_LENGTH,646,Full-length (646 aa)
PQ375362,B646L,p72,FULL_LENGTH,646,Full-length (646 aa)
PQ375363,B646L,p72,FULL_LENGTH,646,Full-length (646 aa)
PV740683,B646L,p72,FULL_LENGTH,646,Full-length (646 aa)
PV740684,B646L,p72,TRUNCATED,385,Truncated (385 aa)
MW856067,CP204L,p30,FULL_LENGTH,193,Near full-length (193 aa)
MW856068,CP204L,p30,FULL_LENGTH,194,Near full-length (194 aa)
ON409979,CP204L,p30,FULL_LENGTH,194,Near full-length (194 aa)
ON409980,CP204L,p30,FULL_LENGTH,201,Near full-length (201 aa)
ON409981,CP204L,p30,FULL_LENGTH,190,Near full-length (190 aa)
ON409982,CP204L,p30,FULL_LENGTH,194,Near full-length (194 aa)
ON409983,CP204L,p30,FULL_LENGTH,194,Near full-length (194 aa)
PQ375362,CP204L,p30,FULL_LENGTH,201,Near full-length (201 aa)
PQ375363,CP204L,p30,FULL_LENGTH,194,Near full-length (194 aa)
PV740683,CP204L,p30,FULL_LENGTH,194,Near full-length (194 aa)
PV740684,CP204L,p30,FULL_LENGTH,194,Near full-length (194 aa)
MW856067,E183L,p54,FULL_LENGTH,186,Near full-length (186 aa)
MW856068,E183L,p54,FULL_LENGTH,184,Near full-length (184 aa)
ON409979,E183L,p54,FULL_LENGTH,184,Near full-length (184 aa)
ON409980,E183L,p54,FULL_LENGTH,185,Near full-length (185 aa)
ON409981,E183L,p54,TRUNCATED,117,Truncated (117 aa)
ON409982,E183L,p54,FULL_LENGTH,184,Near full-length (184 aa)
ON409983,E183L,p54,FULL_LENGTH,184,Near full-length (184 aa)
PQ375362,E183L,p54,FULL_LENGTH,185,Near full-length (185 aa)
PQ375363,E183L,p54,FULL_LENGTH,184,Near full-length (184 aa)
PV740683,E183L,p54,FULL_LENGTH,185,Near full-length (185 aa)
PV740684,E183L,p54,NOT_FOUND,0,Not found in annotation
MW856067,EP402R,CD2v,NOT_FOUND,0,Not found in annotation
MW856068,EP402R,CD2v,TRUNCATED,360,Truncated (360 aa)
ON409979,EP402R,CD2v,TRUNCATED,360,Truncated (360 aa)
ON409980,EP402R,CD2v,FULL_LENGTH,385,Near full-length (385 aa)
ON409981,EP402R,CD2v,SHORT,159,Short sequence (159 aa)
ON409982,EP402R,CD2v,TRUNCATED,360,Truncated (360 aa)
ON409983,EP402R,CD2v,TRUNCATED,360,Truncated (360 aa)
PQ375362,EP402R,CD2v,FULL_LENGTH,385,Near full-length (385 aa)
PQ375363,EP402R,CD2v,TRUNCATED,360,Truncated (360 aa)
PV740683,EP402R,CD2v,TRUNCATED,240,Truncated (240 aa)
PV740684,EP402R,CD2v,NOT_FOUND,0,Not found in annotation
MW856067,CP2475L,pp220,NOT_FOUND,0,Not found in annotation
MW856068,CP2475L,pp220,FULL_LENGTH,2476,Near full-length (2476 aa)
ON409979,CP2475L,pp220,FULL_LENGTH,2476,Near full-length (2476 aa)
ON409980,CP2475L,pp220,FULL_LENGTH,2477,Near full-length (2477 aa)
ON409981,CP2475L,pp220,FULL_LENGTH,2316,Near full-length (2316 aa)
ON409982,CP2475L,pp220,FULL_LENGTH,2476,Near full-length (2476 aa)
ON409983,CP2475L,pp220,FULL_LENGTH,2476,Near full-length (2476 aa)
PQ375362,CP2475L,pp220,FULL_LENGTH,2477,Near full-length (2477 aa)
PQ375363,CP2475L,pp220,FULL_LENGTH,2476,Near full-length (2476 aa)
PV740683,CP2475L,pp220,TRUNCATED,1323,Truncated (1323 aa)
PV740684,CP2475L,pp220,TRUNCATED,2125,Truncated (2125 aa)
MW856067,CP312R,pCP312R,FULL_LENGTH,300,Near full-length (300 aa)
MW856068,CP312R,pCP312R,FULL_LENGTH,307,Near full-length (307 aa)
ON409979,CP312R,pCP312R,FULL_LENGTH,307,Near full-length (307 aa)
ON409980,CP312R,pCP312R,FULL_LENGTH,306,Near full-length (306 aa)
ON409981,CP312R,pCP312R,FULL_LENGTH,307,Near full-length (307 aa)
ON409982,CP312R,pCP312R,FULL_LENGTH,307,Near full-length (307 aa)
ON409983,CP312R,pCP312R,FULL_LENGTH,307,Near full-length (307 aa)
PQ375362,CP312R,pCP312R,FULL_LENGTH,306,Near full-length (306 aa)
PQ375363,CP312R,pCP312R,FULL_LENGTH,307,Near full-length (307 aa)
PV740683,CP312R,pCP312R,FULL_LENGTH,307,Near full-length (307 aa)
PV740684,CP312R,pCP312R,FULL_LENGTH,307,Near full-length (307 aa)
