Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
CTL_pp220_1091,0.7,0,0,0.7,Toxin
CTL_pp220_1462,0.61,0,0,0.61,Toxin
CTL_pp220_1362,0.58,0,0,0.58,Non-Toxin
CTL_pp220_2008,0.56,0,0,0.56,Non-Toxin
CTL_pp220_1771,0.6,0,0,0.6,Non-Toxin
CTL_pp220_385,0.61,0,0,0.61,Toxin
CTL_pp220_501,0.59,0,0,0.59,Non-Toxin
CTL_p30_44,0.62,0,0,0.62,Toxin
HTL_p54_46,0.6,0,0,0.6,Non-Toxin
HTL_pp220_1898,0.4,0,0,0.4,Non-Toxin
HTL_p72_429,0.57,0,0,0.57,Non-Toxin
HTL_p30_179,0.69,0,0,0.69,Toxin
Bcell_pcp312r_62,0.52,0,0,0.52,Non-Toxin
Bcell_pcp312r_111,0.55,0,0,0.55,Non-Toxin
Bcell_p30_121,0.54,0,0,0.54,Non-Toxin
