accession,status,length,n_count,cds_count,gc_content,assembly_status,iupac_ambiguity,notes
MW856067,PASS,176564,11,144,38.67,Complete,33,
MW856068,PASS,183325,0,182,38.55,Complete,0,
ON409979,PASS,184521,0,179,38.5,Complete,0,
ON409980,PASS,182514,0,156,38.61,Complete,0,
ON409981,PASS,178830,0,147,38.15,Complete,0,
ON409982,PASS,171004,0,157,38.88,Complete,0,
ON409983,PASS,183389,0,179,38.54,Complete,0,
PQ375362,PASS,184517,0,160,38.51,Complete,35,
PQ375363,PASS,183853,0,183,38.54,Complete,0,
PV740683,PASS,167022,0,128,39.17,Complete,1,
PV740684,PASS,172585,0,126,38.95,Complete,1,
