accession,gene,protein,status,length,annotation_status,extraction_reason,notes
MW856067,B646L,p72,FULL_LENGTH,646,complete,full CDS,Full-length (646 aa)
MW856068,B646L,p72,FULL_LENGTH,646,complete,full CDS,Full-length (646 aa)
ON409979,B646L,p72,FULL_LENGTH,646,complete,full CDS,Full-length (646 aa)
ON409980,B646L,p72,FULL_LENGTH,646,complete,full CDS,Full-length (646 aa)
ON409981,B646L,p72,FULL_LENGTH,646,complete,full CDS,Full-length (646 aa)
ON409982,B646L,p72,FULL_LENGTH,646,complete,full CDS,Full-length (646 aa)
ON409983,B646L,p72,FULL_LENGTH,646,complete,full CDS,Full-length (646 aa)
PQ375362,B646L,p72,FULL_LENGTH,646,complete,full CDS,Full-length (646 aa)
PQ375363,B646L,p72,FULL_LENGTH,646,complete,full CDS,Full-length (646 aa)
PV740683,B646L,p72,FULL_LENGTH,646,complete,full CDS,Full-length (646 aa)
PV740684,B646L,p72,SEVERELY_TRUNCATED,385,complete,full CDS,Severely truncated (385 aa)
MW856067,CP204L,p30,FULL_LENGTH,193,complete,full CDS,Full-length (193 aa)
MW856068,CP204L,p30,FULL_LENGTH,194,complete,full CDS,Full-length (194 aa)
ON409979,CP204L,p30,FULL_LENGTH,194,complete,full CDS,Full-length (194 aa)
ON409980,CP204L,p30,FULL_LENGTH,201,complete,full CDS,Full-length (201 aa)
ON409981,CP204L,p30,FULL_LENGTH,190,complete,full CDS,Full-length (190 aa)
ON409982,CP204L,p30,FULL_LENGTH,194,complete,full CDS,Full-length (194 aa)
ON409983,CP204L,p30,FULL_LENGTH,194,complete,full CDS,Full-length (194 aa)
PQ375362,CP204L,p30,FULL_LENGTH,201,complete,full CDS,Full-length (201 aa)
PQ375363,CP204L,p30,FULL_LENGTH,194,complete,full CDS,Full-length (194 aa)
PV740683,CP204L,p30,FULL_LENGTH,194,complete,full CDS,Full-length (194 aa)
PV740684,CP204L,p30,FULL_LENGTH,194,complete,full CDS,Full-length (194 aa)
MW856067,E183L,p54,FULL_LENGTH,186,complete,full CDS,Full-length (186 aa)
MW856068,E183L,p54,FULL_LENGTH,184,complete,full CDS,Full-length (184 aa)
ON409979,E183L,p54,FULL_LENGTH,184,complete,full CDS,Full-length (184 aa)
ON409980,E183L,p54,FULL_LENGTH,185,complete,full CDS,Full-length (185 aa)
ON409981,E183L,p54,SEVERELY_TRUNCATED,117,complete,full CDS,Severely truncated (117 aa)
ON409982,E183L,p54,FULL_LENGTH,184,complete,full CDS,Full-length (184 aa)
ON409983,E183L,p54,FULL_LENGTH,184,complete,full CDS,Full-length (184 aa)
PQ375362,E183L,p54,FULL_LENGTH,185,complete,full CDS,Full-length (185 aa)
PQ375363,E183L,p54,FULL_LENGTH,184,complete,full CDS,Full-length (184 aa)
PV740683,E183L,p54,FULL_LENGTH,185,complete,full CDS,Full-length (185 aa)
PV740684,E183L,p54,NOT_FOUND,0,absent,annotation missing,Not found in annotation
MW856067,EP402R,CD2v,NOT_FOUND,0,absent,annotation missing,Not found in annotation
MW856068,EP402R,CD2v,TRUNCATED,360,complete,full CDS,Truncated (360 aa)
ON409979,EP402R,CD2v,TRUNCATED,360,complete,full CDS,Truncated (360 aa)
ON409980,EP402R,CD2v,FULL_LENGTH,385,complete,full CDS,Full-length (385 aa)
ON409981,EP402R,CD2v,SEVERELY_TRUNCATED,159,complete,full CDS,Severely truncated (159 aa)
ON409982,EP402R,CD2v,TRUNCATED,360,complete,full CDS,Truncated (360 aa)
ON409983,EP402R,CD2v,TRUNCATED,360,complete,full CDS,Truncated (360 aa)
PQ375362,EP402R,CD2v,FULL_LENGTH,385,complete,full CDS,Full-length (385 aa)
PQ375363,EP402R,CD2v,TRUNCATED,360,complete,full CDS,Truncated (360 aa)
PV740683,EP402R,CD2v,SEVERELY_TRUNCATED,240,complete,full CDS,Severely truncated (240 aa)
PV740684,EP402R,CD2v,NOT_FOUND,0,absent,annotation missing,Not found in annotation
MW856067,CP2475L,pp220,NOT_FOUND,0,absent,annotation missing,Not found in annotation
MW856068,CP2475L,pp220,FULL_LENGTH,2476,complete,full CDS,Full-length (2476 aa)
ON409979,CP2475L,pp220,FULL_LENGTH,2476,complete,full CDS,Full-length (2476 aa)
ON409980,CP2475L,pp220,FULL_LENGTH,2477,complete,full CDS,Full-length (2477 aa)
ON409981,CP2475L,pp220,FULL_LENGTH,2316,complete,full CDS,Full-length (2316 aa)
ON409982,CP2475L,pp220,FULL_LENGTH,2476,complete,full CDS,Full-length (2476 aa)
ON409983,CP2475L,pp220,FULL_LENGTH,2476,complete,full CDS,Full-length (2476 aa)
PQ375362,CP2475L,pp220,FULL_LENGTH,2477,complete,full CDS,Full-length (2477 aa)
PQ375363,CP2475L,pp220,FULL_LENGTH,2476,complete,full CDS,Full-length (2476 aa)
PV740683,CP2475L,pp220,SEVERELY_TRUNCATED,1323,complete,full CDS,Severely truncated (1323 aa)
PV740684,CP2475L,pp220,TRUNCATED,2125,complete,full CDS,Truncated (2125 aa)
MW856067,CP312R,pCP312R,FULL_LENGTH,300,complete,full CDS,Full-length (300 aa)
MW856068,CP312R,pCP312R,FULL_LENGTH,307,complete,full CDS,Full-length (307 aa)
ON409979,CP312R,pCP312R,FULL_LENGTH,307,complete,full CDS,Full-length (307 aa)
ON409980,CP312R,pCP312R,FULL_LENGTH,306,complete,full CDS,Full-length (306 aa)
ON409981,CP312R,pCP312R,FULL_LENGTH,307,complete,full CDS,Full-length (307 aa)
ON409982,CP312R,pCP312R,FULL_LENGTH,307,complete,full CDS,Full-length (307 aa)
ON409983,CP312R,pCP312R,FULL_LENGTH,307,complete,full CDS,Full-length (307 aa)
PQ375362,CP312R,pCP312R,FULL_LENGTH,306,complete,full CDS,Full-length (306 aa)
PQ375363,CP312R,pCP312R,FULL_LENGTH,307,complete,full CDS,Full-length (307 aa)
PV740683,CP312R,pCP312R,FULL_LENGTH,307,complete,full CDS,Full-length (307 aa)
PV740684,CP312R,pCP312R,FULL_LENGTH,307,complete,full CDS,Full-length (307 aa)
